"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Bronx,Bronx,77001,Active,302,19,2,3,5,1,0,63,395
Bronx,Bronx,77001,Inactive,51,3,0,1,1,0,0,12,68
Bronx,Bronx,77001,Total,353,22,2,4,6,1,0,75,463
Bronx,Bronx,77002,Active,367,13,0,0,8,0,0,44,432
Bronx,Bronx,77002,Inactive,31,4,0,0,0,0,0,4,39
Bronx,Bronx,77002,Total,398,17,0,0,8,0,0,48,471
Bronx,Bronx,77003,Active,"1,047",56,2,4,21,1,0,120,"1,251"
Bronx,Bronx,77003,Inactive,67,1,0,0,0,0,0,10,78
Bronx,Bronx,77003,Total,"1,114",57,2,4,21,1,0,130,"1,329"
Bronx,Bronx,77004,Active,476,15,1,7,3,0,0,71,573
Bronx,Bronx,77004,Inactive,65,6,0,1,3,0,0,13,88
Bronx,Bronx,77004,Total,541,21,1,8,6,0,0,84,661
Bronx,Bronx,77005,Active,"1,018",21,8,6,23,2,0,138,"1,216"
Bronx,Bronx,77005,Inactive,97,7,0,1,2,0,0,14,121
Bronx,Bronx,77005,Total,"1,115",28,8,7,25,2,0,152,"1,337"
Bronx,Bronx,77006,Active,731,24,1,6,19,0,0,122,903
Bronx,Bronx,77006,Inactive,87,5,3,0,3,0,0,19,117
Bronx,Bronx,77006,Total,818,29,4,6,22,0,0,141,"1,020"
Bronx,Bronx,77007,Active,"1,075",36,1,8,24,0,0,166,"1,310"
Bronx,Bronx,77007,Inactive,168,15,1,1,3,1,1,35,225
Bronx,Bronx,77007,Total,"1,243",51,2,9,27,1,1,201,"1,535"
,,,,,,,,,,,,
Page 1 of 127,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Bronx,Bronx,77008,Active,948,45,3,3,27,0,0,145,"1,171"
Bronx,Bronx,77008,Inactive,86,6,0,3,2,0,0,14,111
Bronx,Bronx,77008,Total,"1,034",51,3,6,29,0,0,159,"1,282"
Bronx,Bronx,77009,Active,971,34,6,2,21,0,0,165,"1,199"
Bronx,Bronx,77009,Inactive,161,9,1,0,3,0,0,37,211
Bronx,Bronx,77009,Total,"1,132",43,7,2,24,0,0,202,"1,410"
Bronx,Bronx,77010,Active,"1,110",49,2,5,25,0,0,172,"1,363"
Bronx,Bronx,77010,Inactive,101,3,0,1,3,0,0,23,131
Bronx,Bronx,77010,Total,"1,211",52,2,6,28,0,0,195,"1,494"
Bronx,Bronx,77011,Active,868,31,4,8,25,1,0,124,"1,061"
Bronx,Bronx,77011,Inactive,66,8,0,0,7,0,0,11,92
Bronx,Bronx,77011,Total,934,39,4,8,32,1,0,135,"1,153"
Bronx,Bronx,77012,Active,914,53,1,4,23,0,0,145,"1,140"
Bronx,Bronx,77012,Inactive,117,4,1,0,1,0,0,29,152
Bronx,Bronx,77012,Total,"1,031",57,2,4,24,0,0,174,"1,292"
Bronx,Bronx,77013,Active,518,24,0,2,10,0,0,79,633
Bronx,Bronx,77013,Inactive,50,5,0,0,0,0,0,14,69
Bronx,Bronx,77013,Total,568,29,0,2,10,0,0,93,702
Bronx,Bronx,77014,Active,"1,000",51,5,3,13,2,1,147,"1,222"
Bronx,Bronx,77014,Inactive,96,8,0,0,2,0,0,13,119
Bronx,Bronx,77014,Total,"1,096",59,5,3,15,2,1,160,"1,341"
,,,,,,,,,,,,
Page 2 of 127,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Bronx,Bronx,77015,Active,829,25,6,3,11,0,1,154,"1,029"
Bronx,Bronx,77015,Inactive,101,4,0,1,2,0,0,27,135
Bronx,Bronx,77015,Total,930,29,6,4,13,0,1,181,"1,164"
Bronx,Bronx,77016,Active,924,34,2,4,20,1,0,124,"1,109"
Bronx,Bronx,77016,Inactive,133,8,0,1,1,0,0,23,166
Bronx,Bronx,77016,Total,"1,057",42,2,5,21,1,0,147,"1,275"
Bronx,Bronx,77017,Active,260,18,0,0,2,0,0,47,327
Bronx,Bronx,77017,Inactive,50,5,1,0,3,0,0,10,69
Bronx,Bronx,77017,Total,310,23,1,0,5,0,0,57,396
Bronx,Bronx,77018,Active,882,39,2,6,26,3,0,142,"1,100"
Bronx,Bronx,77018,Inactive,168,8,1,1,7,0,0,25,210
Bronx,Bronx,77018,Total,"1,050",47,3,7,33,3,0,167,"1,310"
Bronx,Bronx,77019,Active,616,34,3,3,14,1,0,113,784
Bronx,Bronx,77019,Inactive,60,4,2,0,3,0,0,11,80
Bronx,Bronx,77019,Total,676,38,5,3,17,1,0,124,864
Bronx,Bronx,77020,Active,948,44,5,8,32,1,0,144,"1,182"
Bronx,Bronx,77020,Inactive,156,8,1,3,6,0,0,34,208
Bronx,Bronx,77020,Total,"1,104",52,6,11,38,1,0,178,"1,390"
Bronx,Bronx,77021,Active,995,49,1,3,12,0,0,162,"1,222"
Bronx,Bronx,77021,Inactive,124,7,0,0,2,0,0,26,159
Bronx,Bronx,77021,Total,"1,119",56,1,3,14,0,0,188,"1,381"
,,,,,,,,,,,,
Page 3 of 127,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Bronx,Bronx,77022,Active,434,28,0,3,5,0,0,67,537
Bronx,Bronx,77022,Inactive,48,1,0,0,0,0,0,10,59
Bronx,Bronx,77022,Total,482,29,0,3,5,0,0,77,596
Bronx,Bronx,77023,Active,"1,111",64,2,5,16,1,0,148,"1,347"
Bronx,Bronx,77023,Inactive,142,9,1,3,4,0,0,26,185
Bronx,Bronx,77023,Total,"1,253",73,3,8,20,1,0,174,"1,532"
Bronx,Bronx,77024,Active,637,32,0,4,14,0,0,89,776
Bronx,Bronx,77024,Inactive,76,6,0,0,3,0,0,18,103
Bronx,Bronx,77024,Total,713,38,0,4,17,0,0,107,879
Bronx,Bronx,77025,Active,791,27,5,3,20,1,0,82,929
Bronx,Bronx,77025,Inactive,161,6,6,0,7,0,0,21,201
Bronx,Bronx,77025,Total,952,33,11,3,27,1,0,103,"1,130"
Bronx,Bronx,77026,Active,326,24,1,2,4,1,0,31,389
Bronx,Bronx,77026,Inactive,59,4,0,1,3,0,0,5,72
Bronx,Bronx,77026,Total,385,28,1,3,7,1,0,36,461
Bronx,Bronx,77027,Active,751,54,2,5,11,1,0,111,935
Bronx,Bronx,77027,Inactive,122,10,1,0,3,0,0,24,160
Bronx,Bronx,77027,Total,873,64,3,5,14,1,0,135,"1,095"
Bronx,Bronx,77028,Active,839,56,1,2,15,1,0,98,"1,012"
Bronx,Bronx,77028,Inactive,94,9,0,2,4,0,0,20,129
Bronx,Bronx,77028,Total,933,65,1,4,19,1,0,118,"1,141"
,,,,,,,,,,,,
Page 4 of 127,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Bronx,Bronx,77029,Active,277,18,0,0,6,0,0,35,336
Bronx,Bronx,77029,Inactive,54,2,0,0,3,0,0,9,68
Bronx,Bronx,77029,Total,331,20,0,0,9,0,0,44,404
Bronx,Bronx,77030,Active,452,22,4,0,9,0,0,71,558
Bronx,Bronx,77030,Inactive,51,3,0,0,3,0,0,7,64
