"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Kings  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Kings,Kings,41001,Active,613,183,5,3,22,1,0,254,"1,081"
Kings,Kings,41001,Inactive,38,12,0,0,1,0,0,18,69
Kings,Kings,41001,Total,651,195,5,3,23,1,0,272,"1,150"
Kings,Kings,41002,Active,573,213,6,0,22,3,0,208,"1,025"
Kings,Kings,41002,Inactive,40,8,0,0,1,0,0,14,63
Kings,Kings,41002,Total,613,221,6,0,23,3,0,222,"1,088"
Kings,Kings,41003,Active,286,89,3,0,13,0,0,86,477
Kings,Kings,41003,Inactive,20,8,0,0,0,0,0,13,41
Kings,Kings,41003,Total,306,97,3,0,13,0,0,99,518
Kings,Kings,41004,Active,427,159,3,0,24,1,1,211,826
Kings,Kings,41004,Inactive,29,13,0,0,1,0,1,20,64
Kings,Kings,41004,Total,456,172,3,0,25,1,2,231,890
Kings,Kings,41005,Active,598,251,3,2,29,1,0,271,"1,155"
Kings,Kings,41005,Inactive,22,11,0,0,1,0,0,14,48
Kings,Kings,41005,Total,620,262,3,2,30,1,0,285,"1,203"
Kings,Kings,41006,Active,431,151,3,3,27,2,1,248,866
Kings,Kings,41006,Inactive,26,13,1,0,1,0,0,16,57
Kings,Kings,41006,Total,457,164,4,3,28,2,1,264,923
Kings,Kings,41007,Active,538,161,4,3,28,2,0,254,990
Kings,Kings,41007,Inactive,41,9,0,0,2,0,0,16,68
Kings,Kings,41007,Total,579,170,4,3,30,2,0,270,"1,058"
,,,,,,,,,,,,
Page 1 of 235,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Kings  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Kings,Kings,41008,Active,504,195,7,1,28,2,1,251,989
Kings,Kings,41008,Inactive,24,12,0,0,2,0,0,21,59
Kings,Kings,41008,Total,528,207,7,1,30,2,1,272,"1,048"
Kings,Kings,41009,Active,476,227,13,4,20,0,0,205,945
Kings,Kings,41009,Inactive,31,12,0,0,1,0,0,24,68
Kings,Kings,41009,Total,507,239,13,4,21,0,0,229,"1,013"
Kings,Kings,41010,Active,287,130,0,3,12,0,0,189,621
