"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
New York  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
New York,New York,65001,Active,296,129,1,0,18,0,3,154,601
New York,New York,65001,Inactive,68,26,0,0,5,0,1,35,135
New York,New York,65001,Total,364,155,1,0,23,0,4,189,736
New York,New York,65002,Active,383,175,0,1,43,1,1,198,802
New York,New York,65002,Inactive,100,44,0,0,20,1,0,67,232
New York,New York,65002,Total,483,219,0,1,63,2,1,265,"1,034"
New York,New York,65003,Active,247,84,2,0,24,0,2,127,486
New York,New York,65003,Inactive,56,30,1,0,2,0,1,27,117
New York,New York,65003,Total,303,114,3,0,26,0,3,154,603
New York,New York,65004,Active,378,169,3,0,47,1,1,219,818
New York,New York,65004,Inactive,90,42,1,0,8,0,0,52,193
New York,New York,65004,Total,468,211,4,0,55,1,1,271,"1,011"
New York,New York,65005,Active,330,75,0,1,15,1,1,141,564
New York,New York,65005,Inactive,111,24,1,0,6,2,0,52,196
New York,New York,65005,Total,441,99,1,1,21,3,1,193,760
New York,New York,65006,Active,575,132,3,1,43,4,3,214,975
New York,New York,65006,Inactive,83,24,1,0,2,0,0,31,141
New York,New York,65006,Total,658,156,4,1,45,4,3,245,"1,116"
New York,New York,65007,Active,420,86,4,0,19,0,0,102,631
New York,New York,65007,Inactive,30,6,1,0,0,1,0,4,42
New York,New York,65007,Total,450,92,5,0,19,1,0,106,673
,,,,,,,,,,,,
Page 1 of 163,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
New York  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
New York,New York,65008,Active,634,176,1,4,21,3,0,182,"1,021"
New York,New York,65008,Inactive,65,16,1,0,2,1,0,26,111
New York,New York,65008,Total,699,192,2,4,23,4,0,208,"1,132"
New York,New York,65009,Active,550,119,0,0,50,4,3,234,960
New York,New York,65009,Inactive,70,15,0,0,8,0,0,26,119
New York,New York,65009,Total,620,134,0,0,58,4,3,260,"1,079"
New York,New York,65010,Active,366,99,2,1,32,0,2,171,673
New York,New York,65010,Inactive,61,21,1,0,4,1,0,35,123
New York,New York,65010,Total,427,120,3,1,36,1,2,206,796
New York,New York,65011,Active,305,101,0,2,30,0,2,169,609
New York,New York,65011,Inactive,81,29,0,0,9,0,0,53,172
New York,New York,65011,Total,386,130,0,2,39,0,2,222,781
New York,New York,65012,Active,288,165,2,0,38,1,1,188,683
New York,New York,65012,Inactive,33,20,0,0,6,0,0,14,73
New York,New York,65012,Total,321,185,2,0,44,1,1,202,756
New York,New York,65013,Active,394,104,1,1,34,0,1,142,677
New York,New York,65013,Inactive,39,23,0,0,5,0,0,33,100
New York,New York,65013,Total,433,127,1,1,39,0,1,175,777
New York,New York,65014,Active,515,188,1,0,49,1,1,272,"1,027"
New York,New York,65014,Inactive,76,37,0,0,18,0,0,58,189
New York,New York,65014,Total,591,225,1,0,67,1,1,330,"1,216"
,,,,,,,,,,,,
Page 2 of 163,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
New York  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
New York,New York,65015,Active,276,75,0,0,17,0,0,115,483
New York,New York,65015,Inactive,43,16,0,0,3,0,0,25,87
New York,New York,65015,Total,319,91,0,0,20,0,0,140,570
New York,New York,65016,Active,521,168,5,0,45,4,0,192,935
New York,New York,65016,Inactive,128,55,0,0,14,1,0,69,267
New York,New York,65016,Total,649,223,5,0,59,5,0,261,"1,202"
New York,New York,65017,Active,18,2,0,1,1,0,0,4,26
New York,New York,65017,Inactive,1,0,0,0,0,0,0,1,2
New York,New York,65017,Total,19,2,0,1,1,0,0,5,28
New York,New York,65018,Active,694,51,2,5,23,0,0,166,941
New York,New York,65018,Inactive,60,4,0,0,0,0,0,13,77
New York,New York,65018,Total,754,55,2,5,23,0,0,179,"1,018"
New York,New York,65019,Active,691,48,1,3,12,2,0,152,909
New York,New York,65019,Inactive,59,7,0,1,0,0,0,15,82
New York,New York,65019,Total,750,55,1,4,12,2,0,167,991
New York,New York,65020,Active,701,50,4,3,20,0,0,144,922
New York,New York,65020,Inactive,60,4,0,0,0,1,0,9,74
New York,New York,65020,Total,761,54,4,3,20,1,0,153,996
New York,New York,65021,Active,755,83,1,4,18,1,0,265,"1,127"
New York,New York,65021,Inactive,61,7,0,0,2,0,0,29,99
New York,New York,65021,Total,816,90,1,4,20,1,0,294,"1,226"
,,,,,,,,,,,,
Page 3 of 163,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
New York  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
New York,New York,65022,Active,619,134,5,3,19,0,0,293,"1,073"
New York,New York,65022,Inactive,54,18,0,0,1,0,0,38,111
New York,New York,65022,Total,673,152,5,3,20,0,0,331,"1,184"
New York,New York,65023,Active,423,83,0,1,19,1,0,229,756
New York,New York,65023,Inactive,42,2,0,0,1,0,0,26,71
New York,New York,65023,Total,465,85,0,1,20,1,0,255,827
New York,New York,65024,Active,599,92,0,4,23,1,0,302,"1,021"
New York,New York,65024,Inactive,50,9,0,0,1,0,0,19,79
New York,New York,65024,Total,649,101,0,4,24,1,0,321,"1,100"
New York,New York,65025,Active,257,69,1,0,8,0,0,97,432
New York,New York,65025,Inactive,30,6,0,0,0,0,0,13,49
New York,New York,65025,Total,287,75,1,0,8,0,0,110,481
New York,New York,65026,Active,323,55,1,2,10,1,0,130,522
New York,New York,65026,Inactive,26,14,0,0,0,0,0,7,47
New York,New York,65026,Total,349,69,1,2,10,1,0,137,569
New York,New York,65027,Active,643,135,6,2,16,0,0,225,"1,027"
New York,New York,65027,Inactive,45,11,0,0,0,0,0,16,72
New York,New York,65027,Total,688,146,6,2,16,0,0,241,"1,099"
New York,New York,65028,Active,456,55,0,2,14,0,0,218,745
New York,New York,65028,Inactive,18,4,0,0,0,0,0,9,31
New York,New York,65028,Total,474,59,0,2,14,0,0,227,776
,,,,,,,,,,,,
Page 4 of 163,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
New York  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
New York,New York,65029,Active,355,55,2,0,9,3,1,193,618
New York,New York,65029,Inactive,27,4,0,0,0,0,0,16,47
New York,New York,65029,Total,382,59,2,0,9,3,1,209,665
New York,New York,65030,Active,597,94,0,4,12,3,0,231,941
New York,New York,65030,Inactive,73,25,0,1,2,0,0,46,147
New York,New York,65030,Total,670,119,0,5,14,3,0,277,"1,088"
