"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Queens  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Queens,Queens,23001,Active,389,364,47,1,40,1,1,155,998
Queens,Queens,23001,Inactive,15,10,1,0,0,0,0,5,31
Queens,Queens,23001,Total,404,374,48,1,40,1,1,160,"1,029"
Queens,Queens,23002,Active,371,319,36,2,26,0,0,142,896
Queens,Queens,23002,Inactive,24,18,3,0,2,0,0,6,53
Queens,Queens,23002,Total,395,337,39,2,28,0,0,148,949
Queens,Queens,23003,Active,417,326,38,0,41,1,0,155,978
Queens,Queens,23003,Inactive,15,10,0,0,2,0,0,5,32
Queens,Queens,23003,Total,432,336,38,0,43,1,0,160,"1,010"
Queens,Queens,23004,Active,96,56,3,1,5,0,0,28,189
Queens,Queens,23004,Inactive,3,3,1,0,2,0,0,3,12
Queens,Queens,23004,Total,99,59,4,1,7,0,0,31,201
Queens,Queens,23005,Active,442,313,14,2,28,2,1,166,968
Queens,Queens,23005,Inactive,30,16,0,0,0,0,0,7,53
Queens,Queens,23005,Total,472,329,14,2,28,2,1,173,"1,021"
Queens,Queens,23006,Active,520,320,7,0,35,2,0,146,"1,030"
Queens,Queens,23006,Inactive,15,9,0,0,0,0,0,5,29
Queens,Queens,23006,Total,535,329,7,0,35,2,0,151,"1,059"
Queens,Queens,23007,Active,470,353,17,0,37,1,0,175,"1,053"
Queens,Queens,23007,Inactive,21,12,0,0,4,0,0,13,50
Queens,Queens,23007,Total,491,365,17,0,41,1,0,188,"1,103"
,,,,,,,,,,,,
Page 1 of 172,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Queens  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Queens,Queens,23008,Active,480,296,18,1,35,0,0,150,980
Queens,Queens,23008,Inactive,30,19,2,0,0,0,0,14,65
Queens,Queens,23008,Total,510,315,20,1,35,0,0,164,"1,045"
Queens,Queens,23009,Active,556,288,18,0,40,2,0,148,"1,052"
Queens,Queens,23009,Inactive,34,13,1,0,5,1,0,16,70
Queens,Queens,23009,Total,590,301,19,0,45,3,0,164,"1,122"
Queens,Queens,23010,Active,541,237,16,4,47,1,2,176,"1,024"
Queens,Queens,23010,Inactive,38,16,0,0,1,0,0,15,70
Queens,Queens,23010,Total,579,253,16,4,48,1,2,191,"1,094"
Queens,Queens,23011,Active,560,273,14,4,52,1,0,182,"1,086"
Queens,Queens,23011,Inactive,52,15,0,1,2,0,0,14,84
Queens,Queens,23011,Total,612,288,14,5,54,1,0,196,"1,170"
Queens,Queens,23012,Active,506,115,14,6,32,3,0,105,781
Queens,Queens,23012,Inactive,70,15,2,2,7,0,0,33,129
Queens,Queens,23012,Total,576,130,16,8,39,3,0,138,910
Queens,Queens,23013,Active,421,131,13,1,38,1,0,106,711
Queens,Queens,23013,Inactive,43,20,1,0,2,0,0,8,74
Queens,Queens,23013,Total,464,151,14,1,40,1,0,114,785
Queens,Queens,23014,Active,652,209,17,2,52,0,0,152,"1,084"
Queens,Queens,23014,Inactive,51,16,1,0,7,1,0,12,88
Queens,Queens,23014,Total,703,225,18,2,59,1,0,164,"1,172"
,,,,,,,,,,,,
Page 2 of 172,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Queens  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Queens,Queens,23015,Active,748,192,7,7,37,2,1,185,"1,179"
Queens,Queens,23015,Inactive,47,11,0,1,2,0,0,9,70
Queens,Queens,23015,Total,795,203,7,8,39,2,1,194,"1,249"
Queens,Queens,23016,Active,771,157,6,7,36,0,0,188,"1,165"
Queens,Queens,23016,Inactive,47,6,0,0,4,0,0,10,67
Queens,Queens,23016,Total,818,163,6,7,40,0,0,198,"1,232"
Queens,Queens,23017,Active,398,72,2,1,25,0,0,94,592
Queens,Queens,23017,Inactive,22,6,0,0,1,0,0,5,34
Queens,Queens,23017,Total,420,78,2,1,26,0,0,99,626
Queens,Queens,23018,Active,638,35,1,4,18,3,0,106,805
Queens,Queens,23018,Inactive,89,1,0,0,2,0,0,16,108
Queens,Queens,23018,Total,727,36,1,4,20,3,0,122,913
Queens,Queens,23019,Active,778,131,9,7,48,2,0,153,"1,128"
Queens,Queens,23019,Inactive,101,12,2,2,6,0,0,23,146
Queens,Queens,23019,Total,879,143,11,9,54,2,0,176,"1,274"
Queens,Queens,23020,Active,1,0,0,0,0,0,0,0,1
Queens,Queens,23020,Total,1,0,0,0,0,0,0,0,1
Queens,Queens,23021,Active,235,47,1,6,12,0,0,80,381
Queens,Queens,23021,Inactive,7,1,0,0,1,0,0,2,11
Queens,Queens,23021,Total,242,48,1,6,13,0,0,82,392
Queens,Queens 23022,,Active,3,1,0,0,0,0,0,1,5
,,,,,,,,,,,,
Page 3 of 172,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Queens  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Queens,Queens,23022,Inactive,2,0,0,0,0,0,0,1,3
Queens,Queens,23022,Total,5,1,0,0,0,0,0,2,8
Queens,Queens,23023,Active,582,151,1,0,18,2,0,108,862
Queens,Queens,23023,Inactive,58,12,0,0,1,0,0,9,80
Queens,Queens,23023,Total,640,163,1,0,19,2,0,117,942
Queens,Queens,23024,Active,867,67,2,2,15,0,0,96,"1,049"
Queens,Queens,23024,Inactive,79,4,0,0,1,0,0,11,95
Queens,Queens,23024,Total,946,71,2,2,16,0,0,107,"1,144"
Queens,Queens,23025,Active,616,139,3,5,20,2,0,134,919
Queens,Queens,23025,Inactive,46,9,0,0,1,0,0,14,70
Queens,Queens,23025,Total,662,148,3,5,21,2,0,148,989
Queens,Queens,23026,Active,579,110,9,2,15,0,0,74,789
Queens,Queens,23026,Inactive,131,7,1,1,1,0,0,24,165
Queens,Queens,23026,Total,710,117,10,3,16,0,0,98,954
Queens,Queens,23027,Active,511,227,2,0,3,0,0,175,918
Queens,Queens,23027,Inactive,26,12,0,0,0,0,0,3,41
Queens,Queens,23027,Total,537,239,2,0,3,0,0,178,959
Queens,Queens,23028,Active,684,200,5,0,18,1,0,180,"1,088"
Queens,Queens,23028,Inactive,28,12,0,0,0,0,0,12,52
Queens,Queens,23028,Total,712,212,5,0,18,1,0,192,"1,140"
Queens,Queens 23029,,Active,796,133,7,3,24,0,0,164,"1,127"
,,,,,,,,,,,,
Page 4 of 172,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Queens  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Queens,Queens,23029,Inactive,71,15,0,0,0,0,0,25,111
Queens,Queens,23029,Total,867,148,7,3,24,0,0,189,"1,238"
Queens,Queens,23030,Active,882,96,4,5,22,1,0,157,"1,167"
Queens,Queens,23030,Inactive,75,4,0,0,1,0,0,15,95
Queens,Queens,23030,Total,957,100,4,5,23,1,0,172,"1,262"
Queens,Queens,23031,Active,762,72,3,7,18,0,0,138,"1,000"
Queens,Queens,23031,Inactive,45,10,0,0,2,0,0,10,67
Queens,Queens,23031,Total,807,82,3,7,20,0,0,148,"1,067"
Queens,Queens,23032,Active,407,9,1,2,15,0,0,55,489
Queens,Queens,23032,Inactive,40,3,0,0,3,0,0,10,56
Queens,Queens,23032,Total,447,12,1,2,18,0,0,65,545
Queens,Queens,23033,Active,715,32,1,2,15,3,0,91,859
Queens,Queens,23033,Inactive,80,8,0,1,5,0,0,18,112
Queens,Queens,23033,Total,795,40,1,3,20,3,0,109,971
Queens,Queens,23034,Active,627,42,1,2,12,0,0,99,783
Queens,Queens,23034,Inactive,78,10,1,1,0,0,0,15,105
Queens,Queens,23034,Total,705,52,2,3,12,0,0,114,888
Queens,Queens,23035,Active,909,127,8,1,22,0,0,166,"1,233"
Queens,Queens,23035,Inactive,35,5,0,0,0,0,0,5,45
Queens,Queens,23035,Total,944,132,8,1,22,0,0,171,"1,278"
Queens,Queens 23036,,Active,555,106,6,1,19,1,0,114,802
,,,,,,,,,,,,
Page 5 of 172,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Queens  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Queens,Queens,23036,Inactive,22,10,0,0,0,0,0,7,39
Queens,Queens,23036,Total,577,116,6,1,19,1,0,121,841
Queens,Queens,23037,Active,458,76,3,1,8,1,0,106,653
Queens,Queens,23037,Inactive,24,1,1,0,0,0,0,5,31
Queens,Queens,23037,Total,482,77,4,1,8,1,0,111,684
Queens,Queens,23038,Active,80,22,1,2,4,0,0,10,119
Queens,Queens,23038,Inactive,6,2,0,0,0,0,0,0,8
Queens,Queens,23038,Total,86,24,1,2,4,0,0,10,127
Queens,Queens,23039,Active,496,148,6,1,11,1,1,165,829
Queens,Queens,23039,Inactive,33,9,1,0,0,0,0,3,46
Queens,Queens,23039,Total,529,157,7,1,11,1,1,168,875
Queens,Queens,23040,Active,380,212,5,2,18,1,0,121,739
Queens,Queens,23040,Inactive,15,7,0,0,2,0,0,9,33
Queens,Queens,23040,Total,395,219,5,2,20,1,0,130,772
Queens,Queens,23041,Active,285,185,6,3,33,0,0,85,597
Queens,Queens,23041,Inactive,15,5,0,0,3,0,0,7,30
Queens,Queens,23041,Total,300,190,6,3,36,0,0,92,627
Queens,Queens,23042,Active,758,49,5,1,25,1,0,113,952
Queens,Queens,23042,Inactive,92,5,0,0,2,0,0,16,115
Queens,Queens,23042,Total,850,54,5,1,27,1,0,129,"1,067"
Queens,Queens 23043,,Active,375,60,0,2,12,0,0,125,574
,,,,,,,,,,,,
Page 6 of 172,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Queens  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Queens,Queens,23043,Inactive,22,4,0,0,1,0,0,8,35
Queens,Queens,23043,Total,397,64,0,2,13,0,0,133,609
Queens,Queens,23044,Active,365,369,18,4,39,0,0,185,980
Queens,Queens,23044,Inactive,13,17,1,1,3,0,0,4,39
Queens,Queens,23044,Total,378,386,19,5,42,0,0,189,"1,019"
Queens,Queens,23045,Active,385,339,12,5,41,0,1,168,951
Queens,Queens,23045,Inactive,21,16,0,0,1,0,0,10,48
Queens,Queens,23045,Total,406,355,12,5,42,0,1,178,999
Queens,Queens,23046,Active,423,414,10,4,37,0,0,169,"1,057"
Queens,Queens,23046,Inactive,20,12,0,0,1,0,0,10,43
Queens,Queens,23046,Total,443,426,10,4,38,0,0,179,"1,100"
Queens,Queens,23047,Active,248,201,6,1,12,1,0,101,570
Queens,Queens,23047,Inactive,13,12,0,0,1,0,0,2,28
Queens,Queens,23047,Total,261,213,6,1,13,1,0,103,598
Queens,Queens,23048,Active,248,208,6,3,20,1,0,117,603
Queens,Queens,23048,Inactive,8,3,0,0,1,0,0,2,14
Queens,Queens,23048,Total,256,211,6,3,21,1,0,119,617
Queens,Queens,23049,Active,394,379,16,1,31,2,1,165,989
Queens,Queens,23049,Inactive,19,20,1,0,2,0,0,8,50
Queens,Queens,23049,Total,413,399,17,1,33,2,1,173,"1,039"
Queens,Queens 23050,,Active,459,232,15,4,36,1,1,212,960
,,,,,,,,,,,,
Page 7 of 172,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Queens  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Queens,Queens,23050,Inactive,64,26,4,0,8,1,1,31,135
