"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Richmond  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Richmond,Richmond,61001,Active,742,109,4,6,33,7,0,157,"1,058"
Richmond,Richmond,61001,Inactive,120,13,1,1,5,0,0,41,181
Richmond,Richmond,61001,Total,862,122,5,7,38,7,0,198,"1,239"
Richmond,Richmond,61002,Active,553,34,3,5,12,1,0,73,681
Richmond,Richmond,61002,Inactive,44,1,0,0,2,0,0,4,51
Richmond,Richmond,61002,Total,597,35,3,5,14,1,0,77,732
Richmond,Richmond,61003,Active,758,112,3,3,48,4,0,225,"1,153"
Richmond,Richmond,61003,Inactive,74,12,1,0,8,0,0,34,129
Richmond,Richmond,61003,Total,832,124,4,3,56,4,0,259,"1,282"
Richmond,Richmond,61004,Active,644,145,8,8,46,4,1,179,"1,035"
Richmond,Richmond,61004,Inactive,80,14,1,2,7,1,0,19,124
Richmond,Richmond,61004,Total,724,159,9,10,53,5,1,198,"1,159"
Richmond,Richmond,61005,Active,556,46,3,4,29,7,0,130,775
Richmond,Richmond,61005,Inactive,47,4,1,0,1,0,0,9,62
Richmond,Richmond,61005,Total,603,50,4,4,30,7,0,139,837
Richmond,Richmond,61006,Active,729,152,7,4,36,0,2,179,"1,109"
Richmond,Richmond,61006,Inactive,71,12,2,0,5,0,0,27,117
Richmond,Richmond,61006,Total,800,164,9,4,41,0,2,206,"1,226"
Richmond,Richmond,61007,Active,873,48,7,8,38,3,0,184,"1,161"
Richmond,Richmond,61007,Inactive,37,0,0,0,3,0,0,9,49
Richmond,Richmond,61007,Total,910,48,7,8,41,3,0,193,"1,210"
,,,,,,,,,,,,
Page 1 of 39,,,,,,,,,,,,
,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,
"Voters Registered as of November 1, 2014",,,,,,,,,,,,
Richmond  County,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,WOR,IND,GRE,OTH,BLANK,TOTAL
Richmond,Richmond,61008,Active,994,64,16,10,33,4,0,175,"1,296"
Richmond,Richmond,61008,Inactive,73,8,0,0,3,0,0,17,101
Richmond,Richmond,61008,Total,"1,067",72,16,10,36,4,0,192,"1,397"
Richmond,Richmond,61009,Active,828,145,9,9,45,1,0,161,"1,198"
Richmond,Richmond,61009,Inactive,36,6,0,0,1,1,0,15,59
Richmond,Richmond,61009,Total,864,151,9,9,46,2,0,176,"1,257"
Richmond,Richmond,61010,Active,720,108,7,4,25,2,0,167,"1,033"
Richmond,Richmond,61010,Inactive,34,7,1,1,6,0,0,7,56
Richmond,Richmond,61010,Total,754,115,8,5,31,2,0,174,"1,089"
Richmond,Richmond,61011,Active,375,91,12,3,23,0,0,78,582
