"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Bronx,Bronx,77001,Active,344,17,1,1,3,5,0,0,0,60,431
Bronx,Bronx,77001,Inactive,42,2,1,0,1,1,0,0,0,10,57
Bronx,Bronx,77001,Total,386,19,2,1,4,6,0,0,0,70,488
Bronx,Bronx,77002,Active,378,14,0,0,1,6,0,0,1,50,450
Bronx,Bronx,77002,Inactive,44,4,0,0,0,1,0,0,0,7,56
Bronx,Bronx,77002,Total,422,18,0,0,1,7,0,0,1,57,506
Bronx,Bronx,77003,Active,600,38,2,0,1,11,0,0,0,63,715
Bronx,Bronx,77003,Inactive,43,1,0,0,0,0,0,0,0,4,48
Bronx,Bronx,77003,Total,643,39,2,0,1,11,0,0,0,67,763
Bronx,Bronx,77004,Active,733,30,2,2,7,11,0,0,1,118,904
Bronx,Bronx,77004,Inactive,74,3,0,0,1,0,0,0,0,14,92
Bronx,Bronx,77004,Total,807,33,2,2,8,11,0,0,1,132,996
Bronx,Bronx,77005,Active,"1,073",27,4,2,5,21,0,0,0,136,"1,268"
Bronx,Bronx,77005,Inactive,89,7,2,0,0,3,0,0,0,20,121
Bronx,Bronx,77005,Total,"1,162",34,6,2,5,24,0,0,0,156,"1,389"
Bronx,Bronx,77006,Active,889,43,1,0,6,22,0,0,0,144,"1,105"
Bronx,Bronx,77006,Inactive,85,4,0,0,0,3,0,0,0,36,128
Bronx,Bronx,77006,Total,974,47,1,0,6,25,0,0,0,180,"1,233"
Bronx,Bronx,77007,Active,"1,015",37,2,0,5,12,0,0,0,159,"1,230"
Bronx,Bronx,77007,Inactive,171,14,1,0,1,8,0,0,0,30,225
Bronx,Bronx,77007,Total,"1,186",51,3,0,6,20,0,0,0,189,"1,455"
,,,,,,,,,,,,,,
Page 1 of 131,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Bronx,Bronx,77008,Active,"1,076",48,2,1,7,23,4,0,0,164,"1,325"
Bronx,Bronx,77008,Inactive,184,10,1,0,2,6,0,0,0,27,230
Bronx,Bronx,77008,Total,"1,260",58,3,1,9,29,4,0,0,191,"1,555"
Bronx,Bronx,77009,Active,"1,098",30,5,0,4,19,0,0,0,175,"1,331"
Bronx,Bronx,77009,Inactive,159,8,2,0,0,2,0,0,0,39,210
Bronx,Bronx,77009,Total,"1,257",38,7,0,4,21,0,0,0,214,"1,541"
Bronx,Bronx,77010,Active,659,28,1,0,3,14,1,0,0,125,831
Bronx,Bronx,77010,Inactive,71,1,0,0,2,4,1,0,0,14,93
Bronx,Bronx,77010,Total,730,29,1,0,5,18,2,0,0,139,924
Bronx,Bronx,77011,Active,970,39,4,0,8,23,0,0,0,150,"1,194"
Bronx,Bronx,77011,Inactive,87,6,0,1,0,8,0,0,0,11,113
Bronx,Bronx,77011,Total,"1,057",45,4,1,8,31,0,0,0,161,"1,307"
Bronx,Bronx,77012,Active,968,56,2,1,6,29,0,0,0,165,"1,227"
Bronx,Bronx,77012,Inactive,100,6,1,0,1,0,0,0,0,19,127
Bronx,Bronx,77012,Total,"1,068",62,3,1,7,29,0,0,0,184,"1,354"
Bronx,Bronx,77013,Active,950,46,0,2,5,10,1,0,0,145,"1,159"
Bronx,Bronx,77013,Inactive,93,7,0,0,0,2,0,0,0,19,121
Bronx,Bronx,77013,Total,"1,043",53,0,2,5,12,1,0,0,164,"1,280"
Bronx,Bronx,77014,Active,694,37,4,0,1,10,0,0,0,100,846
Bronx,Bronx,77014,Inactive,60,2,0,0,0,0,0,0,0,15,77
Bronx,Bronx,77014,Total,754,39,4,0,1,10,0,0,0,115,923
,,,,,,,,,,,,,,
Page 2 of 131,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Bronx,Bronx,77015,Active,937,32,5,1,2,18,0,0,1,162,"1,158"
Bronx,Bronx,77015,Inactive,97,2,0,0,1,0,0,0,0,19,119
Bronx,Bronx,77015,Total,"1,034",34,5,1,3,18,0,0,1,181,"1,277"
Bronx,Bronx,77016,Active,606,24,2,0,2,14,1,0,0,82,731
Bronx,Bronx,77016,Inactive,51,3,0,0,0,0,0,0,0,8,62
Bronx,Bronx,77016,Total,657,27,2,0,2,14,1,0,0,90,793
Bronx,Bronx,77017,Active,300,21,0,0,0,4,0,0,0,50,375
Bronx,Bronx,77017,Inactive,36,1,1,0,0,2,0,0,0,8,48
Bronx,Bronx,77017,Total,336,22,1,0,0,6,0,0,0,58,423
Bronx,Bronx,77018,Active,797,25,1,0,4,20,1,0,0,139,987
Bronx,Bronx,77018,Inactive,247,12,1,2,4,9,0,0,0,35,310
Bronx,Bronx,77018,Total,"1,044",37,2,2,8,29,1,0,0,174,"1,297"
Bronx,Bronx,77019,Active,787,42,4,4,2,22,1,0,0,150,"1,012"
Bronx,Bronx,77019,Inactive,84,4,0,0,1,1,0,0,0,20,110
Bronx,Bronx,77019,Total,871,46,4,4,3,23,1,0,0,170,"1,122"
Bronx,Bronx,77020,Active,902,49,4,0,6,18,3,0,0,142,"1,124"
Bronx,Bronx,77020,Inactive,141,8,0,0,1,9,0,0,0,34,193
Bronx,Bronx,77020,Total,"1,043",57,4,0,7,27,3,0,0,176,"1,317"
Bronx,Bronx,77021,Active,817,32,1,0,1,6,0,0,0,129,986
Bronx,Bronx,77021,Inactive,60,3,0,0,0,0,0,0,0,8,71
Bronx,Bronx,77021,Total,877,35,1,0,1,6,0,0,0,137,"1,057"
,,,,,,,,,,,,,,
Page 3 of 131,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Bronx,Bronx,77022,Active,872,48,0,0,1,13,0,0,0,132,"1,066"
Bronx,Bronx,77022,Inactive,77,6,0,0,1,2,0,0,0,27,113
Bronx,Bronx,77022,Total,949,54,0,0,2,15,0,0,0,159,"1,179"
Bronx,Bronx,77023,Active,"1,064",55,1,0,6,14,0,0,0,135,"1,275"
Bronx,Bronx,77023,Inactive,115,7,0,0,1,2,0,0,0,20,145
Bronx,Bronx,77023,Total,"1,179",62,1,0,7,16,0,0,0,155,"1,420"
Bronx,Bronx,77024,Active,849,41,1,0,4,15,0,0,0,121,"1,031"
Bronx,Bronx,77024,Inactive,100,9,0,0,0,5,0,0,0,21,135
Bronx,Bronx,77024,Total,949,50,1,0,4,20,0,0,0,142,"1,166"
Bronx,Bronx,77025,Active,848,26,6,0,2,18,0,0,0,105,"1,005"
Bronx,Bronx,77025,Inactive,157,5,0,0,0,4,0,0,0,18,184
Bronx,Bronx,77025,Total,"1,005",31,6,0,2,22,0,0,0,123,"1,189"
Bronx,Bronx,77026,Active,353,24,0,2,2,4,0,0,0,45,430
Bronx,Bronx,77026,Inactive,61,2,0,0,2,2,0,0,0,6,73
Bronx,Bronx,77026,Total,414,26,0,2,4,6,0,0,0,51,503
Bronx,Bronx,77027,Active,872,43,4,1,7,14,1,0,0,129,"1,071"
Bronx,Bronx,77027,Inactive,166,18,0,1,1,4,0,0,0,34,224
Bronx,Bronx,77027,Total,"1,038",61,4,2,8,18,1,0,0,163,"1,295"
Bronx,Bronx,77028,Active,895,56,1,2,3,15,2,0,0,107,"1,081"
Bronx,Bronx,77028,Inactive,155,13,1,0,2,6,0,0,0,14,191
Bronx,Bronx,77028,Total,"1,050",69,2,2,5,21,2,0,0,121,"1,272"
,,,,,,,,,,,,,,
Page 4 of 131,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Bronx,Bronx,77029,Active,295,20,0,0,1,6,0,0,0,37,359
Bronx,Bronx,77029,Inactive,46,4,0,0,0,3,0,0,0,8,61
Bronx,Bronx,77029,Total,341,24,0,0,1,9,0,0,0,45,420
Bronx,Bronx,77030,Active,482,20,3,0,0,8,0,0,0,83,596
Bronx,Bronx,77030,Inactive,45,3,0,0,1,3,0,0,0,7,59
Bronx,Bronx,77030,Total,527,23,3,0,1,11,0,0,0,90,655
Bronx,Bronx,77031,Active,114,0,0,0,2,1,0,0,0,19,136
Bronx,Bronx,77031,Inactive,11,1,0,0,0,0,0,0,0,0,12
Bronx,Bronx,77031,Total,125,1,0,0,2,1,0,0,0,19,148
Bronx,Bronx,77032,Active,90,3,0,0,0,4,0,0,0,12,109
Bronx,Bronx,77032,Inactive,11,1,0,0,0,0,0,0,0,1,13
Bronx,Bronx,77032,Total,101,4,0,0,0,4,0,0,0,13,122
Bronx,Bronx,77033,Active,652,30,3,0,2,11,1,0,0,99,798
Bronx,Bronx,77033,Inactive,78,4,0,0,0,2,0,0,0,22,106
Bronx,Bronx,77033,Total,730,34,3,0,2,13,1,0,0,121,904
Bronx,Bronx,77034,Active,968,52,2,1,4,23,0,0,0,167,"1,217"
Bronx,Bronx,77034,Inactive,102,6,1,0,1,5,0,0,0,16,131
Bronx,Bronx,77034,Total,"1,070",58,3,1,5,28,0,0,0,183,"1,348"
Bronx,Bronx,77035,Active,944,49,0,0,4,17,1,0,0,169,"1,184"
Bronx,Bronx,77035,Inactive,85,10,0,0,0,5,0,0,0,12,112
Bronx,Bronx,77035,Total,"1,029",59,0,0,4,22,1,0,0,181,"1,296"
,,,,,,,,,,,,,,
Page 5 of 131,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Bronx,Bronx,77036,Active,496,42,3,0,3,14,0,1,0,87,646
Bronx,Bronx,77036,Inactive,51,4,0,0,0,2,0,0,0,11,68
Bronx,Bronx,77036,Total,547,46,3,0,3,16,0,1,0,98,714
Bronx,Bronx,77037,Active,674,27,2,2,2,20,0,0,0,93,820
Bronx,Bronx,77037,Inactive,60,3,0,0,0,1,0,0,0,13,77
Bronx,Bronx,77037,Total,734,30,2,2,2,21,0,0,0,106,897
Bronx,Bronx,77038,Active,454,23,3,1,1,12,0,0,0,85,579
Bronx,Bronx,77038,Inactive,50,3,0,0,0,1,0,0,0,11,65
Bronx,Bronx,77038,Total,504,26,3,1,1,13,0,0,0,96,644
Bronx,Bronx,77039,Active,883,43,5,0,5,14,1,0,0,155,"1,106"
Bronx,Bronx,77039,Inactive,93,7,0,0,1,3,0,0,0,22,126
Bronx,Bronx,77039,Total,976,50,5,0,6,17,1,0,0,177,"1,232"
Bronx,Bronx,77040,Active,536,23,0,2,4,12,0,0,0,75,652
Bronx,Bronx,77040,Inactive,63,3,0,0,1,1,0,0,1,17,86
Bronx,Bronx,77040,Total,599,26,0,2,5,13,0,0,1,92,738
Bronx,Bronx,77041,Active,614,28,1,0,7,9,0,0,0,96,755
Bronx,Bronx,77041,Inactive,87,7,0,0,0,1,0,0,0,20,115
Bronx,Bronx,77041,Total,701,35,1,0,7,10,0,0,0,116,870
Bronx,Bronx,77042,Active,934,38,2,1,6,27,0,0,0,173,"1,181"
Bronx,Bronx,77042,Inactive,181,9,0,0,1,3,0,0,0,34,228
Bronx,Bronx,77042,Total,"1,115",47,2,1,7,30,0,0,0,207,"1,409"
,,,,,,,,,,,,,,
Page 6 of 131,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Bronx  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Bronx,Bronx,77043,Active,774,31,0,2,5,16,1,0,0,143,972
Bronx,Bronx,77043,Inactive,118,3,0,0,3,5,0,0,0,27,156
Bronx,Bronx,77043,Total,892,34,0,2,8,21,1,0,0,170,"1,128"
