"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Kings  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Kings,Kings,38027,Active,1,0,0,0,0,0,0,0,0,0,1
Kings,Kings,38027,Total,1,0,0,0,0,0,0,0,0,0,1
Kings,Kings,41001,Active,649,201,5,2,2,22,0,0,0,276,"1,157"
Kings,Kings,41001,Inactive,37,15,0,0,0,1,0,0,0,18,71
Kings,Kings,41001,Total,686,216,5,2,2,23,0,0,0,294,"1,228"
Kings,Kings,41002,Active,581,236,10,2,1,20,0,0,0,231,"1,081"
Kings,Kings,41002,Inactive,68,9,0,1,0,3,0,0,0,29,110
Kings,Kings,41002,Total,649,245,10,3,1,23,0,0,0,260,"1,191"
Kings,Kings,41003,Active,279,91,3,0,0,12,0,0,0,101,486
Kings,Kings,41003,Inactive,38,7,2,0,0,2,0,0,0,13,62
Kings,Kings,41003,Total,317,98,5,0,0,14,0,0,0,114,548
Kings,Kings,41004,Active,417,151,3,0,0,19,0,0,3,245,838
Kings,Kings,41004,Inactive,55,20,0,0,0,2,0,0,0,18,95
Kings,Kings,41004,Total,472,171,3,0,0,21,0,0,3,263,933
Kings,Kings,41005,Active,368,145,1,2,2,18,1,0,0,184,721
Kings,Kings,41005,Inactive,35,11,0,0,0,1,0,0,0,26,73
Kings,Kings,41005,Total,403,156,1,2,2,19,1,0,0,210,794
Kings,Kings,41006,Active,447,172,4,2,3,25,0,0,2,273,928
Kings,Kings,41006,Inactive,34,14,1,0,0,2,0,0,0,22,73
Kings,Kings,41006,Total,481,186,5,2,3,27,0,0,2,295,"1,001"
Kings,Kings 41007,,Active,533,173,3,3,2,28,0,0,1,287,"1,030"
,,,,,,,,,,,,,,
Page 1 of 241,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Kings  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Kings,Kings,41007,Inactive,58,15,0,0,0,2,0,0,0,23,98
Kings,Kings,41007,Total,591,188,3,3,2,30,0,0,1,310,"1,128"
Kings,Kings,41008,Active,499,206,7,2,1,30,0,0,1,250,996
Kings,Kings,41008,Inactive,44,12,0,0,0,2,0,0,0,25,83
Kings,Kings,41008,Total,543,218,7,2,1,32,0,0,1,275,"1,079"
Kings,Kings,41009,Active,461,241,14,0,4,19,0,0,0,235,974
Kings,Kings,41009,Inactive,39,15,0,0,0,1,0,0,0,23,78
Kings,Kings,41009,Total,500,256,14,0,4,20,0,0,0,258,"1,052"
Kings,Kings,41010,Active,311,141,0,0,6,15,0,0,0,211,684
Kings,Kings,41010,Inactive,7,3,0,0,1,2,0,0,0,10,23
Kings,Kings,41010,Total,318,144,0,0,7,17,0,0,0,221,707
Kings,Kings,41011,Active,173,69,0,0,0,9,0,0,0,95,346
Kings,Kings,41011,Inactive,12,5,0,0,0,1,0,0,0,5,23
Kings,Kings,41011,Total,185,74,0,0,0,10,0,0,0,100,369
Kings,Kings,41012,Active,242,122,1,0,1,11,0,0,0,102,479
Kings,Kings,41012,Inactive,28,11,0,0,0,1,0,0,0,13,53
Kings,Kings,41012,Total,270,133,1,0,1,12,0,0,0,115,532
Kings,Kings,41013,Active,33,7,0,0,0,3,0,0,0,10,53
Kings,Kings,41013,Inactive,1,2,0,0,0,0,0,0,0,2,5
Kings,Kings,41013,Total,34,9,0,0,0,3,0,0,0,12,58
Kings,Kings 41014,,Active,107,31,1,0,2,7,0,0,0,53,201
,,,,,,,,,,,,,,
Page 2 of 241,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Kings  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Kings,Kings,41014,Inactive,3,5,0,0,0,0,0,0,0,5,13
Kings,Kings,41014,Total,110,36,1,0,2,7,0,0,0,58,214
Kings,Kings,41015,Active,118,47,1,0,0,5,0,0,0,42,213
Kings,Kings,41015,Inactive,14,2,0,0,0,1,0,0,0,6,23
Kings,Kings,41015,Total,132,49,1,0,0,6,0,0,0,48,236
Kings,Kings,41016,Active,635,264,9,1,5,25,0,0,1,251,"1,191"
Kings,Kings,41016,Inactive,20,8,0,0,0,2,0,0,0,10,40
Kings,Kings,41016,Total,655,272,9,1,5,27,0,0,1,261,"1,231"
Kings,Kings,41017,Active,431,223,10,0,1,27,0,0,1,174,867
Kings,Kings,41017,Inactive,19,11,1,0,0,2,0,0,0,10,43
Kings,Kings,41017,Total,450,234,11,0,1,29,0,0,1,184,910
Kings,Kings,41018,Active,303,179,5,0,0,9,0,0,0,110,606
Kings,Kings,41018,Inactive,10,10,0,0,0,0,0,0,0,8,28
Kings,Kings,41018,Total,313,189,5,0,0,9,0,0,0,118,634
Kings,Kings,41019,Active,59,23,2,0,0,3,0,0,0,29,116
Kings,Kings,41019,Inactive,4,0,0,0,0,0,0,0,0,0,4
Kings,Kings,41019,Total,63,23,2,0,0,3,0,0,0,29,120
Kings,Kings,41020,Active,407,87,1,0,1,11,0,0,0,129,636
Kings,Kings,41020,Inactive,18,3,0,0,0,0,0,0,0,3,24
Kings,Kings,41020,Total,425,90,1,0,1,11,0,0,0,132,660
Kings,Kings 41021,,Active,513,144,7,0,2,12,0,0,0,144,822
,,,,,,,,,,,,,,
Page 3 of 241,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Kings  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Kings,Kings,41021,Inactive,19,8,0,0,1,0,0,0,0,8,36
Kings,Kings,41021,Total,532,152,7,0,3,12,0,0,0,152,858
Kings,Kings,41022,Active,107,47,3,0,0,5,0,0,0,40,202
Kings,Kings,41022,Inactive,4,2,0,0,0,1,0,0,0,0,7
Kings,Kings,41022,Total,111,49,3,0,0,6,0,0,0,40,209
Kings,Kings,41023,Active,96,3,1,0,0,6,0,0,0,11,117
Kings,Kings,41023,Inactive,2,0,0,0,0,0,0,0,0,0,2
Kings,Kings,41023,Total,98,3,1,0,0,6,0,0,0,11,119
Kings,Kings,41024,Active,108,22,1,1,0,3,0,0,0,28,163
Kings,Kings,41024,Inactive,3,1,0,0,0,0,0,0,0,1,5
Kings,Kings,41024,Total,111,23,1,1,0,3,0,0,0,29,168
Kings,Kings,41025,Active,143,22,0,1,0,5,0,0,0,36,207
Kings,Kings,41025,Inactive,13,0,0,0,0,0,0,0,0,4,17
Kings,Kings,41025,Total,156,22,0,1,0,5,0,0,0,40,224
Kings,Kings,41026,Active,85,3,0,0,0,2,0,0,0,9,99
Kings,Kings,41026,Inactive,9,0,0,0,0,0,0,0,0,1,10
Kings,Kings,41026,Total,94,3,0,0,0,2,0,0,0,10,109
Kings,Kings,41027,Active,344,35,1,0,1,11,0,0,0,72,464
Kings,Kings,41027,Inactive,35,3,1,0,0,1,0,0,0,4,44
Kings,Kings,41027,Total,379,38,2,0,1,12,0,0,0,76,508
Kings,Kings 41028,,Active,816,74,7,0,6,26,0,0,0,157,"1,086"
,,,,,,,,,,,,,,
Page 4 of 241,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Kings  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Kings,Kings,41028,Inactive,46,6,1,0,0,1,0,0,0,11,65
Kings,Kings,41028,Total,862,80,8,0,6,27,0,0,0,168,"1,151"
Kings,Kings,41029,Active,61,3,1,0,0,2,0,0,0,33,100
Kings,Kings,41029,Inactive,0,0,0,0,0,0,0,0,0,1,1
Kings,Kings,41029,Total,61,3,1,0,0,2,0,0,0,34,101
Kings,Kings,41030,Active,770,46,2,1,1,16,0,0,0,134,970
Kings,Kings,41030,Inactive,16,2,0,0,0,0,0,0,0,4,22
Kings,Kings,41030,Total,786,48,2,1,1,16,0,0,0,138,992
Kings,Kings,41031,Active,910,36,1,4,2,15,0,0,0,123,"1,091"
Kings,Kings,41031,Inactive,45,4,0,0,0,2,0,0,0,7,58
Kings,Kings,41031,Total,955,40,1,4,2,17,0,0,0,130,"1,149"
Kings,Kings,41032,Active,823,50,1,2,2,18,0,0,0,136,"1,032"
Kings,Kings,41032,Inactive,31,2,0,0,0,0,0,0,0,4,37
Kings,Kings,41032,Total,854,52,1,2,2,18,0,0,0,140,"1,069"
Kings,Kings,41033,Active,909,36,2,1,5,20,1,0,1,120,"1,095"
Kings,Kings,41033,Inactive,21,1,0,0,0,0,0,0,0,7,29
Kings,Kings,41033,Total,930,37,2,1,5,20,1,0,1,127,"1,124"
Kings,Kings,41034,Active,757,31,2,1,2,18,0,0,1,106,918
Kings,Kings,41034,Inactive,29,1,0,0,0,1,0,0,0,6,37
Kings,Kings,41034,Total,786,32,2,1,2,19,0,0,1,112,955
Kings,Kings 41035,,Active,486,185,1,0,3,17,0,0,0,312,"1,004"
,,,,,,,,,,,,,,
Page 5 of 241,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Kings  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Kings,Kings,41035,Inactive,12,6,0,0,1,2,0,0,0,5,26
Kings,Kings,41035,Total,498,191,1,0,4,19,0,0,0,317,"1,030"
Kings,Kings,41036,Active,414,222,6,1,3,26,0,0,2,206,880
Kings,Kings,41036,Inactive,19,15,0,0,2,4,0,0,0,12,52
Kings,Kings,41036,Total,433,237,6,1,5,30,0,0,2,218,932
Kings,Kings,41037,Active,694,14,0,0,1,10,0,0,0,98,817
Kings,Kings,41037,Inactive,28,0,0,0,0,3,0,0,0,4,35
Kings,Kings,41037,Total,722,14,0,0,1,13,0,0,0,102,852
Kings,Kings,41038,Active,"1,010",47,1,0,2,24,0,0,0,127,"1,211"
Kings,Kings,41038,Inactive,49,3,0,0,0,3,0,0,0,6,61
Kings,Kings,41038,Total,"1,059",50,1,0,2,27,0,0,0,133,"1,272"
Kings,Kings,41039,Active,719,23,2,1,0,13,0,0,0,73,831
Kings,Kings,41039,Inactive,38,2,0,0,0,2,0,0,0,3,45
Kings,Kings,41039,Total,757,25,2,1,0,15,0,0,0,76,876
Kings,Kings,41040,Active,686,25,2,0,1,15,1,0,0,109,839
Kings,Kings,41040,Inactive,30,1,0,0,0,3,0,0,0,6,40
Kings,Kings,41040,Total,716,26,2,0,1,18,1,0,0,115,879
Kings,Kings,41041,Active,905,62,3,0,0,22,0,0,0,141,"1,133"
Kings,Kings,41041,Inactive,45,4,0,0,0,0,0,0,0,5,54
Kings,Kings,41041,Total,950,66,3,0,0,22,0,0,0,146,"1,187"
Kings,Kings 41042,,Active,178,89,5,0,1,5,0,0,0,114,392
,,,,,,,,,,,,,,
Page 6 of 241,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Kings  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Kings,Kings,41042,Inactive,10,2,1,0,0,0,0,0,0,4,17
Kings,Kings,41042,Total,188,91,6,0,1,5,0,0,0,118,409
Kings,Kings,41043,Active,677,36,4,3,1,24,0,0,0,137,882
Kings,Kings,41043,Inactive,49,5,0,0,0,3,0,0,0,13,70
Kings,Kings,41043,Total,726,41,4,3,1,27,0,0,0,150,952
Kings,Kings,41044,Active,183,74,3,1,1,17,0,0,0,111,390
Kings,Kings,41044,Inactive,12,6,0,0,0,0,0,0,0,11,29
Kings,Kings,41044,Total,195,80,3,1,1,17,0,0,0,122,419
Kings,Kings,41045,Active,"1,059",32,0,1,10,26,1,0,0,128,"1,257"
Kings,Kings,41045,Inactive,32,2,0,0,0,0,0,0,0,4,38
Kings,Kings,41045,Total,"1,091",34,0,1,10,26,1,0,0,132,"1,295"
Kings,Kings,41046,Active,556,200,13,0,0,39,0,0,0,192,"1,000"
Kings,Kings,41046,Inactive,43,10,0,0,0,0,0,0,0,6,59
Kings,Kings,41046,Total,599,210,13,0,0,39,0,0,0,198,"1,059"
Kings,Kings,41047,Active,968,43,2,0,3,18,0,0,0,135,"1,169"
Kings,Kings,41047,Inactive,27,3,0,0,0,1,0,0,0,4,35
Kings,Kings,41047,Total,995,46,2,0,3,19,0,0,0,139,"1,204"
Kings,Kings,41048,Active,365,11,1,0,1,10,0,0,0,50,438
Kings,Kings,41048,Inactive,30,1,0,0,0,0,0,0,0,5,36
Kings,Kings,41048,Total,395,12,1,0,1,10,0,0,0,55,474
Kings,Kings 41049,,Active,877,29,1,0,1,16,0,0,0,100,"1,024"
,,,,,,,,,,,,,,
Page 7 of 241,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Kings  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Kings,Kings,41049,Inactive,26,3,0,0,0,2,0,0,0,8,39
Kings,Kings,41049,Total,903,32,1,0,1,18,0,0,0,108,"1,063"
Kings,Kings,41050,Active,526,213,11,1,1,10,0,0,0,136,898
Kings,Kings,41050,Inactive,22,2,0,0,0,0,0,0,0,13,37
Kings,Kings,41050,Total,548,215,11,1,1,10,0,0,0,149,935
Kings,Kings,41051,Active,188,45,1,0,2,6,0,0,0,38,280
Kings,Kings,41051,Inactive,9,5,0,0,1,0,0,0,0,5,20
Kings,Kings,41051,Total,197,50,1,0,3,6,0,0,0,43,300
Kings,Kings,41052,Active,348,100,3,0,0,7,0,0,0,84,542
Kings,Kings,41052,Inactive,14,7,1,0,0,0,0,0,0,5,27
Kings,Kings,41052,Total,362,107,4,0,0,7,0,0,0,89,569
Kings,Kings,41053,Active,842,83,4,0,9,20,1,0,0,173,"1,132"
Kings,Kings,41053,Inactive,60,3,1,0,0,1,0,0,0,10,75
Kings,Kings,41053,Total,902,86,5,0,9,21,1,0,0,183,"1,207"
Kings,Kings,41054,Active,846,24,2,2,6,22,0,0,0,145,"1,047"
Kings,Kings,41054,Inactive,52,3,0,0,0,4,0,0,0,7,66
Kings,Kings,41054,Total,898,27,2,2,6,26,0,0,0,152,"1,113"
Kings,Kings,41055,Active,701,30,1,0,0,26,0,0,0,75,833
Kings,Kings,41055,Inactive,49,5,0,0,0,0,0,0,0,4,58
Kings,Kings,41055,Total,750,35,1,0,0,26,0,0,0,79,891
Kings,Kings 41056,,Active,218,143,2,0,1,16,0,0,1,60,441
,,,,,,,,,,,,,,
Page 8 of 241,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
