"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
New York  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
New York,New York,65001,Active,373,146,2,1,0,24,0,0,4,210,760
New York,New York,65001,Inactive,77,35,1,0,0,6,0,0,1,45,165
New York,New York,65001,Total,450,181,3,1,0,30,0,0,5,255,925
New York,New York,65002,Active,490,193,1,2,1,42,1,0,1,278,"1,009"
New York,New York,65002,Inactive,104,60,0,1,0,22,0,0,0,72,259
New York,New York,65002,Total,594,253,1,3,1,64,1,0,1,350,"1,268"
New York,New York,65003,Active,349,109,0,0,0,18,0,0,3,194,673
New York,New York,65003,Inactive,77,38,0,0,0,6,0,0,0,32,153
New York,New York,65003,Total,426,147,0,0,0,24,0,0,3,226,826
New York,New York,65004,Active,502,214,2,1,1,51,0,0,1,301,"1,073"
New York,New York,65004,Inactive,98,52,2,0,0,6,0,0,0,72,230
New York,New York,65004,Total,600,266,4,1,1,57,0,0,1,373,"1,303"
New York,New York,65005,Active,360,76,0,0,0,15,0,0,0,166,617
New York,New York,65005,Inactive,102,25,0,1,1,8,0,0,1,60,198
New York,New York,65005,Total,462,101,0,1,1,23,0,0,1,226,815
New York,New York,65006,Active,524,119,4,4,0,40,0,0,1,211,903
New York,New York,65006,Inactive,71,24,2,1,0,5,0,0,1,31,135
New York,New York,65006,Total,595,143,6,5,0,45,0,0,2,242,"1,038"
New York,New York,65007,Active,482,104,3,0,0,25,0,0,0,146,760
New York,New York,65007,Inactive,28,9,1,1,0,2,0,0,0,8,49
New York,New York,65007,Total,510,113,4,1,0,27,0,0,0,154,809
,,,,,,,,,,,,,,
Page 1 of 162,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
New York  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
New York,New York,65008,Active,611,152,0,3,4,22,0,0,0,197,989
New York,New York,65008,Inactive,68,28,0,0,0,3,0,0,0,25,124
New York,New York,65008,Total,679,180,0,3,4,25,0,0,0,222,"1,113"
New York,New York,65009,Active,617,126,2,4,0,51,0,0,3,264,"1,067"
New York,New York,65009,Inactive,69,24,0,0,0,8,0,0,1,32,134
New York,New York,65009,Total,686,150,2,4,0,59,0,0,4,296,"1,201"
New York,New York,65010,Active,552,117,1,8,0,28,1,0,0,245,952
New York,New York,65010,Inactive,73,18,1,0,1,8,0,0,0,29,130
New York,New York,65010,Total,625,135,2,8,1,36,1,0,0,274,"1,082"
New York,New York,65011,Active,325,107,4,0,2,22,0,0,1,175,636
New York,New York,65011,Inactive,112,41,1,0,0,16,0,0,1,71,242
New York,New York,65011,Total,437,148,5,0,2,38,0,0,2,246,878
New York,New York,65012,Active,323,170,1,1,0,35,0,0,0,244,774
New York,New York,65012,Inactive,37,27,0,0,0,13,0,0,0,26,103
