"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Queens  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Queens,Queens,23001,Active,410,404,46,1,1,41,0,0,1,175,"1,079"
Queens,Queens,23001,Inactive,8,9,3,0,0,0,0,0,0,8,28
Queens,Queens,23001,Total,418,413,49,1,1,41,0,0,1,183,"1,107"
Queens,Queens,23002,Active,390,360,42,0,3,32,0,0,0,159,986
Queens,Queens,23002,Inactive,20,10,2,0,0,1,0,0,0,7,40
Queens,Queens,23002,Total,410,370,44,0,3,33,0,0,0,166,"1,026"
Queens,Queens,23003,Active,422,358,41,0,0,47,0,0,0,184,"1,052"
Queens,Queens,23003,Inactive,14,9,1,0,0,1,0,0,0,4,29
Queens,Queens,23003,Total,436,367,42,0,0,48,0,0,0,188,"1,081"
Queens,Queens,23004,Active,96,52,3,0,1,7,0,0,0,27,186
Queens,Queens,23004,Inactive,2,3,1,0,0,1,0,0,0,2,9
Queens,Queens,23004,Total,98,55,4,0,1,8,0,0,0,29,195
Queens,Queens,23005,Active,439,336,15,2,1,32,1,0,1,185,"1,012"
Queens,Queens,23005,Inactive,31,19,1,0,0,0,0,0,0,7,58
Queens,Queens,23005,Total,470,355,16,2,1,32,1,0,1,192,"1,070"
Queens,Queens,23006,Active,505,344,5,3,0,36,0,0,0,163,"1,056"
Queens,Queens,23006,Inactive,23,7,0,0,0,1,0,0,0,10,41
Queens,Queens,23006,Total,528,351,5,3,0,37,0,0,0,173,"1,097"
Queens,Queens,23007,Active,470,384,16,1,0,43,0,0,0,181,"1,095"
Queens,Queens,23007,Inactive,18,11,1,0,0,3,0,0,0,8,41
Queens,Queens,23007,Total,488,395,17,1,0,46,0,0,0,189,"1,136"
,,,,,,,,,,,,,,
Page 1 of 175,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
