"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Richmond  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Richmond,Richmond,61001,Active,758,112,5,7,7,40,0,0,0,192,"1,121"
Richmond,Richmond,61001,Inactive,123,18,1,2,2,5,0,0,0,41,192
Richmond,Richmond,61001,Total,881,130,6,9,9,45,0,0,0,233,"1,313"
Richmond,Richmond,61002,Active,528,30,3,0,3,12,0,0,0,72,648
Richmond,Richmond,61002,Inactive,50,0,0,1,1,0,0,0,0,7,59
Richmond,Richmond,61002,Total,578,30,3,1,4,12,0,0,0,79,707
Richmond,Richmond,61003,Active,783,105,4,5,1,59,0,0,0,248,"1,205"
Richmond,Richmond,61003,Inactive,101,16,0,0,1,7,0,0,0,36,161
Richmond,Richmond,61003,Total,884,121,4,5,2,66,0,0,0,284,"1,366"
Richmond,Richmond,61004,Active,714,168,13,3,7,46,1,0,2,238,"1,192"
Richmond,Richmond,61004,Inactive,74,17,0,0,5,9,0,0,0,26,131
Richmond,Richmond,61004,Total,788,185,13,3,12,55,1,0,2,264,"1,323"
Richmond,Richmond,61005,Active,653,61,7,9,12,29,0,0,0,182,953
Richmond,Richmond,61005,Inactive,98,4,1,1,1,5,0,0,0,25,135
Richmond,Richmond,61005,Total,751,65,8,10,13,34,0,0,0,207,"1,088"
Richmond,Richmond,61006,Active,764,161,6,4,2,34,0,0,1,213,"1,185"
Richmond,Richmond,61006,Inactive,93,13,0,0,0,5,0,0,0,34,145
Richmond,Richmond,61006,Total,857,174,6,4,2,39,0,0,1,247,"1,330"
Richmond,Richmond,61007,Active,864,45,7,3,9,32,1,0,0,193,"1,154"
Richmond,Richmond,61007,Inactive,42,1,1,0,0,3,0,0,0,17,64
Richmond,Richmond,61007,Total,906,46,8,3,9,35,1,0,0,210,"1,218"
,,,,,,,,,,,,,,
Page 1 of 39,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Richmond  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Richmond,Richmond,61008,Active,873,46,11,1,14,31,1,0,0,182,"1,159"
Richmond,Richmond,61008,Inactive,94,6,0,0,0,4,0,0,0,24,128
Richmond,Richmond,61008,Total,967,52,11,1,14,35,1,0,0,206,"1,287"
Richmond,Richmond,61009,Active,705,119,7,2,9,45,0,0,0,148,"1,035"
Richmond,Richmond,61009,Inactive,30,3,0,0,0,1,0,0,0,6,40
Richmond,Richmond,61009,Total,735,122,7,2,9,46,0,0,0,154,"1,075"
Richmond,Richmond,61010,Active,756,117,4,2,6,35,0,0,0,206,"1,126"
Richmond,Richmond,61010,Inactive,56,11,1,1,1,6,0,0,0,14,90
Richmond,Richmond,61010,Total,812,128,5,3,7,41,0,0,0,220,"1,216"
Richmond,Richmond,61011,Active,528,117,10,0,4,39,0,0,0,117,815
Richmond,Richmond,61011,Inactive,60,14,2,1,0,3,0,0,0,10,90
Richmond,Richmond,61011,Total,588,131,12,1,4,42,0,0,0,127,905
Richmond,Richmond,61012,Active,632,239,19,1,3,57,0,0,1,205,"1,157"
Richmond,Richmond,61012,Inactive,50,11,0,1,0,6,0,0,0,14,82
Richmond,Richmond,61012,Total,682,250,19,2,3,63,0,0,1,219,"1,239"
Richmond,Richmond,61013,Active,547,95,9,2,3,27,1,0,0,162,846
Richmond,Richmond,61013,Inactive,38,9,1,0,2,3,0,0,0,19,72
Richmond,Richmond,61013,Total,585,104,10,2,5,30,1,0,0,181,918
Richmond,Richmond,61014,Active,511,201,15,5,6,60,0,0,2,196,996
Richmond,Richmond,61014,Inactive,38,7,1,0,0,4,0,0,0,13,63
Richmond,Richmond,61014,Total,549,208,16,5,6,64,0,0,2,209,"1,059"
,,,,,,,,,,,,,,
Page 2 of 39,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Richmond  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Richmond,Richmond,61015,Active,707,181,13,2,6,36,0,0,0,242,"1,187"
Richmond,Richmond,61015,Inactive,58,16,1,0,0,2,0,0,0,29,106
Richmond,Richmond,61015,Total,765,197,14,2,6,38,0,0,0,271,"1,293"
Richmond,Richmond,61016,Active,621,47,3,3,4,19,1,0,1,142,841
Richmond,Richmond,61016,Inactive,47,0,0,0,1,5,0,0,0,8,61
Richmond,Richmond,61016,Total,668,47,3,3,5,24,1,0,1,150,902
Richmond,Richmond,61017,Active,839,81,6,2,6,37,1,0,1,215,"1,188"
Richmond,Richmond,61017,Inactive,62,10,1,0,0,4,0,0,0,19,96
Richmond,Richmond,61017,Total,901,91,7,2,6,41,1,0,1,234,"1,284"
Richmond,Richmond,61018,Active,842,182,13,3,5,26,0,0,0,253,"1,324"
Richmond,Richmond,61018,Inactive,61,12,1,0,0,7,0,0,0,25,106
Richmond,Richmond,61018,Total,903,194,14,3,5,33,0,0,0,278,"1,430"
Richmond,Richmond,61019,Active,740,158,10,2,14,33,2,0,2,228,"1,189"
Richmond,Richmond,61019,Inactive,69,18,2,1,0,5,0,0,0,27,122
Richmond,Richmond,61019,Total,809,176,12,3,14,38,2,0,2,255,"1,311"
Richmond,Richmond,61020,Active,663,196,28,2,8,43,0,0,1,240,"1,181"
Richmond,Richmond,61020,Inactive,51,19,1,0,1,3,0,0,0,16,91
Richmond,Richmond,61020,Total,714,215,29,2,9,46,0,0,1,256,"1,272"
Richmond,Richmond,61021,Active,896,86,9,0,10,34,0,0,1,210,"1,246"
Richmond,Richmond,61021,Inactive,91,19,0,0,2,3,0,0,0,23,138
Richmond,Richmond,61021,Total,987,105,9,0,12,37,0,0,1,233,"1,384"
,,,,,,,,,,,,,,
Page 3 of 39,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,,
"Voters Registered as of November 1, 2016",,,,,,,,,,,,,,
Richmond  County,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTY,ELECTION DIST,,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
Richmond,Richmond,61022,Active,814,117,7,0,6,41,0,0,0,236,"1,221"
Richmond,Richmond,61022,Inactive,42,12,0,0,0,2,0,0,1,16,73
Richmond,Richmond,61022,Total,856,129,7,0,6,43,0,0,1,252,"1,294"
Richmond,Richmond,61023,Active,740,190,8,4,6,35,1,0,0,262,"1,246"
Richmond,Richmond,61023,Inactive,49,10,1,0,1,2,0,0,0,18,81
Richmond,Richmond,61023,Total,789,200,9,4,7,37,1,0,0,280,"1,327"
Richmond,Richmond,61024,Active,582,302,21,2,6,34,1,0,0,269,"1,217"
